matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,all_players,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
82135,LOOT.BET Season 1,2019-03-03 01:00,Cache,Windigo,pro100,Windigo,16,14,7,9,8,6,14,16,3,2,v1c7oR,30,kenzor,28,v1c7oR,9,def,12,blocker,24,def,23,v1c7oR,107.7,YEKINDAR,104.7,def,10,poizon,1,Flarich,0,v1c7oR,18,kenzor,18,bubble,46.4,AiyvaN,57,v1c7oR?SHiPZ?poizon?blocker?bubble?YEKINDAR?kenzor?Flarich?AiyvaN?def,v1c7oR,30,Windigo,v1c7oR,107.7,Windigo,def,11,pro100,poizon,7,Windigo,YEKINDAR,8,pro100,v1c7oR,1.65,Windigo
82115,LOOT.BET Season 1,2019-03-02 03:25,Dust2,Windigo,Chaos,Windigo,16,9,9,7,6,3,14,11,1,0,blocker,24,djL,19,blocker,6,tabz,5,SHiPZ,17,tabz,21,blocker,105.7,djL,86.9,PlesseN,12,bubble,1,Relaxa,2,poizon,14,djL,15,v1c7oR,43.6,tabz,56.2,blocker?SHiPZ?bubble?poizon?v1c7oR?djL?FREDDyFROG?Relaxa?tabz?PlesseN,blocker,24,Windigo,blocker,105.7,Windigo,blocker,5,Windigo,poizon,9,Windigo,blocker,4,Windigo,blocker,1.56,Windigo
81956,LOOT.BET Season 1,2019-02-26 09:05,Overpass,Winstrike,Windigo,Windigo,7,16,6,1,9,7,10,13,0,0,wayLander,16,poizon,25,Kvik,7,bubble,8,Boombl4,20,SHiPZ,14,WorldEdit,77.1,poizon,108.2,blocker,10,WorldEdit,0,v1c7oR,1,Kvik,17,poizon,10,n0rb3r7,29.3,blocker,50.9,wayLander?Boombl4?WorldEdit?Kvik?n0rb3r7?poizon?bubble?SHiPZ?v1c7oR?blocker,poizon,25,Windigo,poizon,108.2,Windigo,poizon,6,Windigo,WorldEdit,9,Winstrike,poizon,5,Windigo,poizon,1.89,Windigo
81954,LOOT.BET Season 1,2019-02-26 09:05,Dust2,Winstrike,Windigo,Windigo,4,16,2,2,13,3,7,13,2,1,Boombl4,14,SHiPZ,23,Kvik,3,blocker,9,wayLander,19,bubble,11,n0rb3r7,72.3,SHiPZ,122.5,v1c7oR,14,n0rb3r7,0,v1c7oR,1,Boombl4,15,blocker,8,wayLander,45,v1c7oR,63.5,Boombl4?n0rb3r7?Kvik?wayLander?WorldEdit?SHiPZ?bubble?poizon?blocker?v1c7oR,SHiPZ,23,Windigo,SHiPZ,122.5,Windigo,bubble,6,Windigo,SHiPZ,12,Windigo,poizon,5,Windigo,SHiPZ,1.79,Windigo
81941,United Masters League,2019-02-26 04:00,Overpass,Windigo,3DMAX,Windigo,16,6,9,7,6,0,12,10,3,0,bubble,21,Davidp,17,blocker,8,JiNKZ,4,bubble,14,DEVIL,19,bubble,100.5,Davidp,95,Maka,9,poizon,2,Davidp,1,poizon,10,Davidp,15,v1c7oR,70.1,Maka,44.3,SHiPZ?bubble?blocker?poizon?v1c7oR?Davidp?JiNKZ?hAdji?DEVIL?Maka,bubble,21,Windigo,bubble,100.5,Windigo,blocker,6,Windigo,poizon,8,Windigo,Davidp,4,3DMAX,SHiPZ,1.42,Windigo
81802,NoxFire League Season 2,2019-02-22 09:05,Dust2,Windigo,Unicorns of Love,Unicorns of Love,13,16,9,4,6,10,13,16,4,3,v1c7oR,24,DeniMM,35,bubble,9,maRky,13,blocker,24,maRky,24,SHiPZ,100.6,DeniMM,123.7,Kirby,12,blocker,4,Kirby,4,v1c7oR,21,DeniMM,16,bubble,66.7,Kirby,53,SHiPZ?poizon?v1c7oR?blocker?bubble?DeniMM?crisby?kzy?maRky?Kirby,DeniMM,35,Unicorns of Love,DeniMM,123.7,Unicorns of Love,maRky,9,Unicorns of Love,crisby,6,Unicorns of Love,DeniMM,5,Unicorns of Love,DeniMM,1.83,Unicorns of Love
81769,LOOT.BET Season 1,2019-02-21 11:00,Mirage,HAVU,Windigo,Windigo,3,16,3,0,12,4,7,12,0,2,Twixie,11,SHiPZ,27,sLowi,3,bubble,6,ZOREE,18,bubble,10,Twixie,78.4,SHiPZ,136.4,v1c7oR,10,Twixie,1,SHiPZ,1,hoody,15,SHiPZ,8,peku,47.9,v1c7oR,61.6,ZOREE?Twixie?peku?hoody?sLowi?SHiPZ?blocker?poizon?bubble?v1c7oR,SHiPZ,27,Windigo,SHiPZ,136.4,Windigo,bubble,4,Windigo,ZOREE,5,HAVU,SHiPZ,5,Windigo,SHiPZ,2.45,Windigo
81739,NoxFire League Season 2,2019-02-21 08:00,Train,devils.one,Windigo,devils.one,16,14,12,4,3,11,17,13,3,1,MINISE,28,poizon,27,dycha,7,v1c7oR,9,mouz,22,poizon,24,MINISE,101,poizon,96.2,bubble,16,TaZ,2,blocker,2,rallen,19,bubble,20,TaZ,55.1,bubble,56.8,MINISE?rallen?dycha?mouz?TaZ?poizon?blocker?SHiPZ?bubble?v1c7oR,MINISE,28,devils.one,MINISE,101.0,devils.one,v1c7oR,8,Windigo,poizon,11,Windigo,MINISE,6,devils.one,MINISE,1.47,devils.one
81678,NoxFire League Season 2,2019-02-20 09:10,Mirage,Windigo,pro100,Windigo,16,7,11,5,4,3,16,7,2,1,blocker,22,AiyvaN,18,blocker,7,def,8,blocker,16,kenzor,21,blocker,116.1,YEKINDAR,82.2,kenzor,7,v1c7oR,0,Flarich,3,SHiPZ,12,AiyvaN,17,v1c7oR,59.7,kenzor,33.4,blocker?poizon?SHiPZ?bubble?v1c7oR?AiyvaN?def?YEKINDAR?Flarich?kenzor,blocker,22,Windigo,blocker,116.1,Windigo,blocker,6,Windigo,poizon,11,Windigo,poizon,5,Windigo,blocker,1.59,Windigo
81634,United Masters League,2019-02-19 11:05,Cache,Windigo,expert,expert,13,16,7,6,8,8,13,16,1,2,poizon,24,Andyy,25,bubble,7,ScrunK,7,blocker,21,alexRr,22,v1c7oR,87.9,Andyy,76.5,JDC,16,SHiPZ,3,Andyy,1,SHiPZ,19,Andyy,18,bubble,43.2,syken,69.1,v1c7oR?SHiPZ?blocker?poizon?bubble?Andyy?ScrunK?syken?alexRr?JDC,Andyy,25,expert,v1c7oR,87.9,Windigo,JDC,5,expert,Andyy,18,expert,blocker,5,Windigo,Andyy,1.27,expert
